Honorific,Salutation,Post Nominals,Surname,First Name,Other Name,Preferred Name,Initials,Electorate,State,Political Party,Gender,Telephone,Fax,Electorate Address Line 1,Electorate Address Line 2,Electorate Suburb,Electorate State,Electorate PostCode,Electorate Telephone,Electorate Fax,Electorate TollFree,Electorate Postal Address,Electorate Postal Suburb,Electorate Postal State,Electorate Postal Postcode,Label Address,Label Suburb,Label State,Label Postcode,Parliamentary Title,Ministerial Title
Dr,Dr,MP,Mulino,Daniel,,Daniel,D. ,Fraser,VIC,ALP,Male,(02) 6277 4311,,Shop M0004 80 Taylors Road,,Keilor Downs,VIC,3038,(03) 9070 1974,,,Shop M0004 80 Taylors Road,Keilor Downs,VIC,3038,,,,,,
Ms,Ms,MP,Murphy,Peta,Jan,Peta,P. J.,Dunkley,VIC,ALP,Female,(02) 6277 4370,(02) 6277 8445,37 Playne Street,,Frankston,VIC,3199,(03) 9781 2333,,,37 Playne Street,Frankston,VIC,3199,,,,,,
Hon,Mr,MP,Neumann,Shayne,Kenneth,,S. K.,Blair,QLD,ALP,Male,(02) 6277 4755,(02) 6277 8533,"Level 1, The Tarpaulin Building",2 The Terrace,North Ipswich,QLD,4305,(07) 3201 5300,,,PO Box 2579,North Ipswich LPO,QLD,4305,,,,,,
Mr,Mr,MP,O'Brien,Edward,Lynam,Ted,E. L.,Fairfax,QLD,LNP,Male,(02) 6277 4130,(02) 6277 8410,17 Southern Drive,,Maroochydore,QLD,4558,(07) 5479 2800,(07) 5443 5333,,PO Box 1978,Sunshine Plaza,QLD,4558,,,,,,
Mr,Mr,MP,O'Brien,Llewellyn,Stephen,Llew,L. S.,Wide Bay,QLD,LNP,Male,(02) 6277 2301,(02) 6277 8550,319 Kent Street,,Maryborough,QLD,4650,(07) 4121 2936,,,PO Box 283,Maryborough,QLD,4650,,,,,Deputy Speaker,
Hon,Mr,MP,O'Connor,Brendan,Patrick John,,B. P. J.,Gorton,VIC,ALP,Male,(02) 6277 4105,(02) 6277 2286,"Shop 3, 11 Commercial Road",,Caroline Springs,VIC,3023,(03) 8390 6166,,,"Shop 3, 11 Commercial Road",Caroline Springs,VIC,3023,,,,,,
Mr,Mr,MP,O'Dowd,Kenneth,Desmond,Ken,K. D.,Flynn,QLD,LNP,Male,(02) 6277 4380,(02) 6277 8495,76 Goondoon Street,,Gladstone,QLD,4680,(07) 4972 5465,(07) 4972 0888,,76 Goondoon Street ,Gladstone,QLD,4720,,,,,Deputy Nationals Whip,
Ms,Ms,MP,O'Neil,Clare,Ellen,,C. E.,Hotham,VIC,ALP,Female,(02) 6277 4907,(02) 6277 2347,401 Clayton Road,,Clayton,VIC,3168,(03) 9545 6211,(03) 9545 6299,,PO Box 5295,Clayton,VIC,3168,,,,,,
Ms,Ms,MP,Owens,Julie,Ann,,J. A.,Parramatta,NSW,ALP,Female,(02) 6277 4134,(02) 6277 8433,"Suite 1, 25 Smith Street",(entry via Macquarie Street),Parramatta,NSW,2150,(02) 9689 1455,(02) 9689 3813,,PO Box 395,Parramatta,NSW,2124,,,,,,
Mr,Mr,MP,Pasin,Antony,,Tony,A.,Barker,SA,LP,Male,(02) 6277 4864,(02) 6277 4865,27 Commercial Street,,Mt Gambier,SA,5290,(08) 8724 7730,(08) 8723 2230,1300 723 935,27 Commercial Street,Mt Gambier,SA,5290,,,,,,
Ms,Ms,MP,Payne,Alicia,Emma,Alicia,A. E.,Canberra,ACT,ALP,Female,(02) 6277 4168,(02) 6277 8421,Suite R2 95,Parliament House,Canberra ,ACT,2600,(02) 6277 4168,,,Suite R2 95,Canberra ,ACT,2600,,,,,,
Mr,Mr,MP,Pearce,Gavin,Bruce,Gavin,G. B.,Braddon,TAS,LP,Male,(02) 6277 4432,(02) 6277 8472,2/32 Wilmot Street,,Burnie,TAS,7320,(03) 6431 1333,,,PO Box 908,Burnie,TAS,7320,,,,,,
Mr,Mr,MP,Perrett,Graham,Douglas,,G. D.,Moreton,QLD,ALP,Male,(02) 6277 4542,(02) 6277 8419,"Suite 106, Sunnybank Times Square",250 McCullough Street,Sunnybank,QLD,4109,(07) 3344 2622,(07) 3344 4276,,"PO Box 419, Sunnybank Plaza",Sunnybank,QLD,4109,,,,,,
Mrs,Mrs,MP,Phillips,Fiona,Evon,Fiona,F. E.,Gilmore,NSW,ALP,Female,(02) 6277 4372,(02) 6277 8446,Unit 3,59 Junction Street,Nowra,NSW,2541,(02) 4423 1782,,,PO Box 1009,Nowra,NSW,2541,,,,,,
Hon,Mr,MP,Pitt,Keith,John,Keith,K. J.,Hinkler,QLD,LNP,Male,(02) 6277 7180,,41 Woongarra Street,,Bundaberg,QLD,4670,(07) 4152 0744,(07) 4153 1752,,PO Box 535,Bundaberg,QLD,4670,,,,,,"Minister for Resources, Water and Northern Australia"
Hon,Ms,MP,Plibersek,Tanya,Joan,,T. J.,Sydney,NSW,ALP,Female,(02) 6277 4404,(02) 6277 2212,1a Great Buckingham Street (cnr. Cleveland Street),Redfern,Sydney,NSW,2016,(02) 9379 0700,(02) 9379 0701,,PO Box  2676,Strawberry Hills,NSW,2012,,,,,,
Hon,Mr,MP,Porter,Charles,,Christian,C. C.,Pearce,WA,LP,Male,(02) 6277 7300,,"Unit 3, 28 Main Street",,Ellenbrook,WA,6069,(08) 6296 7255,,,PO Box 2226,Ellenbrook,WA,6069,,,,,,"Attorney-General Minister for Industrial Relations Leader of the House"
Hon,Ms,MP,Price,Melissa,Lee,,M. L.,Durack,WA,LP,Female,(02) 6277 7840,,2B/209 Foreshore Drive,,Geraldton,WA,6530,(08) 9964 2195,(08) 9921 7990,,2B/209 Foreshore Drive,Geraldton,WA,6530,,,,,,Minister for Defence Industry
Mr,Mr,MP,Ramsey,Rowan,Eric,,R. E.,Grey,SA,LP,Male,(02) 6277 4967,(02) 6277 8440,104 Ellen St,,Port Pirie,SA,5540,(08) 8633 1744,(08) 8633 1749,1300 301 742,PO Box 296,Port Pirie,SA,5540,,,,,Government Whip,
Hon,Ms,MP,Rishworth,Amanda,Louise,,A. L.,Kingston,SA,ALP,Female,(02) 6277 2293,(02) 6277 8498,232 Main South Road,,Morphett Vale,SA,5162,(08) 8186 2588,(08) 8186 2688,1300 797 211,232 Main South Road ,Morphett Vale,SA,5162,,,,,,
Hon,Mr,MP,Robert,Stuart,Rowland,,S. R.,Fadden,QLD,LNP,Male,(02) 6277 7200,,"Unit 1, 110 Brisbane Road",,Labrador,QLD,4215,(07) 5500 5919,(07) 5500 5484,,PO Box 733,Biggera Waters,QLD,4216,,,,,,"Minister for the National Disability Insurance Scheme Minister for Government Services "
Ms,Ms,MP,Rowland,Michelle,Anne,Michelle,M. A.,Greenway,NSW,ALP,Female,(02) 6277 4833,(02) 6277 8586,Suite 101C,130 Main Street,Blacktown,NSW,2148,(02) 9671 4780,(02) 9671 5147,,PO Box 8525,Blacktown,NSW,2148,,,,,,
Ms,Ms,MP,Ryan,Joanne,Catherine,Joanne,J. C.,Lalor,VIC,ALP,Female,(02) 6277 4398,(02) 6277 2364,Tenancies 3 & 4,203-205 Watton Street,Werribee,VIC,3030,(03) 9742 5800,(03) 9741 6213,,"Tenancies 3 & 4, 203-205 Watton Street",Werribee,VIC,3030,,,,,Opposition Whip,
Ms,Ms,MP,Sharkie,Rebekha,Carina Che,Rebekha,R.,Mayo,SA,CA,Female,(02) 6277 2113,(02) 6277 8451,1/72 Gawler Street,,Mt Barker,SA,5251,(08) 8398 5566,,,PO Box 1601,Mt Barker,SA,5251,,,,,,
Mr,Mr,MP,Sharma,Devanand,Noel,Dave,D. N.,Wentworth,NSW,LP,Male,(02) 6277 4166,(02) 6277 8418,Ground Floor,287 New South Head Road,Edgecliff,NSW,2027,(02) 9327 3988,,,PO Box 545,Edgecliff,NSW,2027,,,,,,
Hon,Mr,MP,Shorten,William,Richard,Bill,W. R.,Maribyrnong,VIC,ALP,Male,(02) 6277 4167,(02) 6277 8420,"Suite 1A, 12 Hall Street",,Moonee Ponds,VIC,3039,(03) 9326 1300,(03) 9326 0611,,PO Box 214,Moonee Ponds,VIC,3039,,,,,,
Mr,Mr,MP,Simmonds,Julian,,Julian,J. ,Ryan,QLD,LNP,Male,(02) 6277 4483,(02) 6277 8478,636 Moggill Road,,Chapel Hill ,QLD,4069,(07) 3378 1599,(07) 3378 1399,,PO Box 704,Indooroopilly,QLD,4068,,,,,,
Hon,Mr,MP,Smith,Anthony,David Hawthorn,Tony,A. D. H.,Casey,VIC,LP,Male,(02) 6277 4000,(02) 6277 2050,Suite 11,1 East Ridge Drive,Chirnside Park,VIC,3116,(03) 9727 0799,,,PO Box 40,Chirnside Park,VIC,3116,,,,,Speaker,
Mr,Mr,MP,Smith,David,Philip Benedict,David,D. P. B,Bean ,ACT,ALP,Male,(02) 6277 4346,(02) 6277 8430,205 Anketell Street,,Tuggeranong,ACT,2900,(02) 6293 1344,,,205 Anketell Street,Tuggeranong,ACT,2900,,,,,,
Hon,Mr,MP,Snowdon,Warren,Edward,,W. E.,Lingiari,NT,ALP,Male,(02) 6277 4081,(02) 6277 2088,"Unit 3, 12 Gregory Terrace",,Alice Springs,NT,870,(08) 8952 9696,(08) 8952 5922,,PO Box 4007,Alice Springs,NT,870,,,,,,
Ms,Ms,MP,Stanley,Anne,Maree,Anne,A. M.,Werriwa,NSW,ALP,Female,(02) 6277 2103,(02) 6277 8446,"Shop 7, 441 Hoxton Park",,Hinchinbrook,NSW,2168,(02) 8783 0977,(02) 9825 0244,,PO Box 88,Hoxton Park,NSW,2171,,,,,Opposition Whip,
Ms,Ms,MP OAM,Steggall,Zali,,Zali,Z. ,Warringah,NSW,IND,Female,(02) 6277 4373,(02) 6277 8447,Level 2,17-19 Sydney Road,Manly,NSW,2095,(02) 9977 6411,,,PO Box 450,Manly,NSW,2095,,,,,,
Mr,Mr,MP,Stevens,James,,James,J. ,Sturt,SA,LP,Male,(02) 6277 4020,(02) 6277 8400,429 Magill Road,,St Morris,SA,5068,(08) 8431 2277,,,429 Magill Road,St Morris,SA,5068,,,,,,
Hon,Mr,MP,Sukkar,Michael,Sven,Michael,M. S.,Deakin,VIC,LP,Male,(02) 6277 7230,,5/602 Whitehorse Road,,Mitcham,VIC,3132,(03) 9874 1711,,,PO Box 232,Mitcham,VIC,3132,,,,,,"Assistant Treasurer Minister for Housing "
Ms,Ms,MP,Swanson,Meryl,Jane,,M. J.,Paterson,NSW,ALP,Female,(02) 6277 4248,,35 Sturgeon Street,,Raymond Terrace,NSW,2324,(02) 4983 2401,,,PO Box 156,Raymond Terrace,NSW,2324,,,,,,
Hon,Mr,MP,Taylor,Angus,James,Angus,A. J.,Hume,NSW,LP,Male,(02) 6277 7120,,18 Hill Street,,Camden,NSW,2570,(02) 4658 7188,(02) 4658 7222,,PO Box 21,Camden,NSW,2570,,,,,,Minister for Energy and Emissions Reduction
Hon,Mr,MP,Tehan,Daniel,Thomas,Dan,D. T.,Wannon,VIC,LP,Male,(02) 6277 7350,,190 Gray Street,,Hamilton,VIC,3300,(03) 5572 1100,(03) 5572 1141,1300 131 692,190 Gray Street ,Hamilton,VIC,3300,,,,,,Minister for Education
Ms,Ms,MP,Templeman,Susan,Raye,Susan,S. R.,Macquarie,NSW,ALP,Female,(02) 6277 4784,(02) 6277 8459,"Ground Floor, 299 George Street",,Windsor,NSW,2756,(02) 4573 8222,(02) 4573 8396,1300 519 482,PO Box 855,Windsor,NSW,2756,,,,,,
Hon,Mr,MP,Thistlethwaite,Matthew,James,Matt,M. J.,Kingsford Smith,NSW,ALP,Male,(02) 6277 4840,(02) 6277 4969,Shop 6,205 Maroubra Road,Maroubra,NSW,2035,(02) 9349 6007,(02) 9349 8089,,PO Box 895,Maroubra,NSW,2035,,,,,,
Mr,Mr,OAM MP,Thompson,Phillip,,Phillip,P. ,Herbert,QLD,LNP,Male,(02) 6277 4418,(02) 6277 8471,Nathan Business Centre,Cnr Ross River Road  & Nathan Street,Cranbrook,QLD,4814,(07) 4725 2066,(07) 4725 2088,,PO Box 226,Aitkenvale BC,QLD,4814,,,,,,
Ms,Ms,MP,Thwaites,Kate,Lynne,Kate,K. L.,Jagajaga,VIC,ALP,Female,(02) 6277 4305,(02) 6277 8452,149 Burgundy Street,,Heidelberg,VIC,3084,(03) 9459 1411,(03) 9457 5721,,PO Box 316,Heidelberg,VIC,3084,,,,,,
Hon,Mr,MP,Tudge,Alan,Edward,Alan,A. E.,Aston,VIC,LP,Male,(02) 6277 7790,,"Suite 4, Level 1",420 Burwood Highway,Wantirna South,VIC,3152,(03) 9887 3890,(03) 9887 3893,,"Suite 4, Level 1, 420 Burwood Highway",Wantirna South,VIC,3152,,,,,,"Minister for Population, Cities and Urban Infrastructure "
Ms,Ms,MP,Vamvakinou,Maria,,,M.,Calwell,VIC,ALP,Female,(02) 6277 4249,(02) 6277 8426,"Level 2, Office 1",14 Dimboola Road,Broadmeadows,VIC,3047,(03) 9367 5216,(03) 9367 3064,,PO Box 3218,Broadmeadows,VIC,3218,,,,,,
Mr,Mr,MP,van Manen,Albertus,Johannes,Bert,A. J.,Forde,QLD,LNP,Male,(02) 6277 4088,(02) 6277 8553,"Tenancy 1001F, first floor",114-118 George Street,Beenleigh,QLD,4207,(07) 3807 6340,(07) 3807 1990,,PO Box 884,Beenleigh,QLD,4207,,,,,Chief Government Whip,
Mr,Mr,MP,Vasta,Ross,Xavier,Ross,R. X.,Bonner,QLD,LNP,Male,(02) 6277 4632,(02) 6277 8535,69 Clara Street,,Wynnum,QLD,4178,(07) 3893 3488,(07) 3893 3422,,69 Clara Street ,Wynnum,QLD,4178,,,,,,
Mr,Mr,MP,Wallace,Andrew,Bruce,Andrew,A. B.,Fisher,QLD,LNP,Male,(02) 6277 4282,(02) 6277 8406,"'The Edge' Upper Level East, Unit 11",10 Lake Kawana Boulevard,Bokarina,QLD,4575,(07) 5493 5556,,,PO Box 1224,Buddina,QLD,4575,,,,,,
Mr,Mr,MP,Watts,Timothy,Graham,Tim,T. G.,Gellibrand,VIC,ALP,Male,(02) 6277 4537,(02) 6277 2327,97 Geelong Road,,Footscray,VIC,3011,(03) 9687 7661,(03) 9687 7151,,97 Geelong Road ,Footscray,VIC,3011,,,,,,
Dr,Dr,MP,Webster,Anne,Elizabeth,Anne,A. E.,Mallee,VIC,NATS,Female,(02) 6277 4027,(02) 6277 8406,1/146A Eighth Street,,Mildura,VIC,3500,(03) 5021 5987,,,PO Box 1133,Mildura,VIC,3502,,,,,,
Ms,Ms,MP,Wells,Anika,Shay,Anika,A. S.,Lilley,QLD,ALP,Female,(02) 6277 4299,(02) 6277 8460,"First Floor, 1162 Sandgate Road",(Cnr Buckland Road),Nundah,QLD,4012,(07) 3266 8244,,,PO Box 182,Nundah,QLD,4012,,,,,,
Mrs,Mrs,MP,Wicks,Lucy,Elizabeth,,L. E.,Robertson,NSW,LP,Female,(02) 6277 4738,(02) 6277 4739,Level 3,69 Central Coast Highway,West Gosford,NSW,2250,(02) 4322 2400,(02) 4322 2499,,"Level 3, 69 Central Coast Highway",West Gosford,NSW,2250,,,,,,
Mr,Mr,MP,Wilkie,Andrew,Damien,Andrew,A. D.,Clark,TAS,IND,Male,(02) 6277 4766,(02) 6277 8579,188 Collins Street,,Hobart,TAS,7001,(03) 6234 5255,(03) 6223 8560,,PO Box 32,Hobart,TAS,7001,,,,,,
Mr,Mr,MP,Wilson,Joshua,Hamilton,Josh,J. H.,Fremantle,WA,ALP,Male,(02) 6277 2081,(02) 6277 8437,62 Wray Avenue,,Fremantle,WA,6160,(08) 9335 8555,(08) 9336 1059,,PO Box 1224,Fremantle,WA,6160,,,,,,
Mr,Mr,MP,Wilson,Richard,James,Rick,R. J.,O'Connor,WA,LP,Male,(02) 6277 4101,(02) 6277 2073,345 Hannan Street,,Kalgoorlie,WA,6430,(08) 9021 2044,(08) 9021 2033,,PO Box 10415,Kalgoorlie,WA,6430,,,,,,
Mr,Mr,MP,Wilson,Timothy,Robert,Tim,T. R.,Goldstein,VIC,LP,Male,(02) 6277 2392,(02) 6277 8545,368 Centre Road,,Bentleigh,VIC,3204,(03) 9557 4644,,,368 Centre Road,Bentleigh,VIC,3204,,,,,,
Hon,Mr,MP,Wood,Jason,Peter,Jason,J. P.,La Trobe,VIC,LP,Male,(02) 6277 4982,(02) 6277 4994,Unit 3,16 Langmore Lane,Berwick,VIC,3806,(03) 9768 9164,,,PO Box 539,Berwick,VIC,3806,,,,,,"Assistant Minister for Customs, Community Safety and Multicultural Affairs"
Hon,Mr,AM MP,Wyatt,Kenneth,George,Ken,K. G.,Hasluck,WA,LP,Male,(02) 6277 7780,,"Shop 10-12 Forrestfield Forum, 80 Hale Road",,Forrestfield,WA,6058,(08) 9359 0322,(08) 9359 0197,,PO Box 325,Forrestfield,WA,6058,,,,,,Minister for Indigenous Australians
Mr,Mr,MP,Young,Terry,James,Terry,T. J.,Longman,QLD,LNP,Male,(02) 6277 4030,(02) 6277 8407,Unit A (Level 1),69 King Street,Caboolture,QLD,4510,(07) 5432 3177,,,PO Box 42,Caboolture,QLD,4510,,,,,,
Mr,Mr,MP,Zappia,Antonio,,Tony,A.,Makin,SA,ALP,Male,(02) 6277 4147,(02) 6277 8592,959 North East Road,,Modbury,SA,5092,(08) 8265 3100,(08) 8265 3900,,PO Box 775,Modbury,SA,5092,,,,,,
Mr,Mr,MP,Zimmerman,Trent,Moir,Trent,T. M.,North Sydney,NSW,LP,Male,(02) 6277 4744,(02) 6277 8405,"Level 10, 2 Elizabeth Plaza",,North Sydney,NSW,2060,(02) 9929 9822,(02) 9929 9833,,PO Box 1107,North Sydney,NSW,2060,,,,,,
