Honorific,Salutation,Post Nominals,Surname,First Name,Other Name,Preferred Name,Initials,Electorate,State,Political Party,Gender,Telephone,Electorate Address Line 1,Electorate Address Line 2,Electorate Suburb,Electorate State,Electorate PostCode,Electorate Telephone,Electorate Fax,Electorate TollFree,Electorate Postal Address,Electorate Postal Suburb,Electorate Postal State,Electorate Postal Postcode,Label Address,Label Suburb,Label State,Label Postcode,Parliamentary Title,Ministerial Title
Ms,Ms,MP,Payne,Alicia,Emma,Alicia,A. E.,Canberra,ACT,ALP,Female,(02) 6277 4168,221 London Circuit,,Canberra,ACT,2601,(02) 6247 8475,,,221 London Circuit,Canberra,ACT,2601,,,,,,
Ms,Ms,MP,Penfold,Alison,Louise,Alison,A. L.,Lyne,NSW,NATS,Female,(02) 6277 4569,"Shops 2 & 3, 43 High Street",,Wauchope,NSW,2446,(02) 6586 4462,,,PO Box 244,Wauchope,NSW,2446,,,,,,
Mrs,Mrs,MP,Phillips,Fiona,Evon,Fiona,F. E.,Gilmore,NSW,ALP,Female,(02) 6277 4372,Unit 3,59 Junction Street,Nowra,NSW,2541,(02) 4423 1782,,,PO Box 1009,Nowra,NSW,2541,,,,,,
Mr,Mr,MP,Pike,Henry,Jon,Henry,H. J.,Bowman,QLD,LNP,Male,(02) 6277 4874,"Ground floor,","Unit 1 124, Queen Street",Cleveland,QLD,4163,(07) 3821 0155,,,PO Box 8024,Cleveland DC,QLD,4163,,,,,Opposition Whip,
Hon,Ms,MP,Plibersek,Tanya,Joan,,T. J.,Sydney,NSW,ALP,Female,(02) 6277 7560,1a Great Buckingham Street (cnr. Cleveland Street),Redfern,Sydney,NSW,2016,(02) 9379 0700,(02) 9379 0701,,PO Box  2676,Strawberry Hills,NSW,2012,,,,,,Minister for Social Services
Hon,Ms,MP,Price,Melissa,Lee,,M. L.,Durack,WA,LP,Female,(02) 6277 4315,2B/209 Foreshore Drive,,Geraldton,WA,6530,(08) 9964 2195,,,2B/209 Foreshore Drive,Geraldton,WA,6530,,,,,,
Hon,Mr,MP,Rae,Sam,Thomas,Sam,S. T.,Hawke,VIC,ALP,Male,(02) 6277 7720,100 McKenzie St,,Melton,VIC,3337,(03) 9070 1960,,,PO Box 374,Melton,VIC,3337,,,,,,Minister for Aged Care and Seniors
Mr,Mr,MP,Rebello,Leon,Stefan,Leon,L. S.,McPherson,QLD,LNP,Male,(02) 6277 4572,47 Watts Drive,,Varsity Lakes,QLD,4227,(07) 5580 9111,,,PO Box 409,Varsity Lakes,QLD,4227,,,,,,
Dr,Dr,MP,Reid,Gordon,James,Gordon,G. J.,Robertson,NSW,ALP,Male,(02) 6277 4901,Suite 3.04 & 3.05,"Level 3, 69 Central Coast Highway",West Gosford,NSW,2250,(02) 4322 2400,,,,,,,,,,,,
Mr,Mr,MP,Repacholi,Daniel,Peter,Dan,D. P.,Hunter,NSW,ALP,Male,(02) 6277 4930,3 Edward Street,,Cessnock,NSW,2325,(02) 4991 1022,,,PO Box 526,Cessnock,NSW,2325,,,,,,
Hon,Ms,MP,Rishworth,Amanda,Louise,,A. L.,Kingston,SA,ALP,Female,(02) 6277 7320,232 Main South Road,,Morphett Vale,SA,5162,(08) 8186 2588,(08) 8186 2688,1300 797 211,232 Main South Road ,Morphett Vale,SA,5162,,,,,,Minister for Employment and Workplace Relations
Ms,Ms,MP,Roberts,Tracey,Gardner,Tracey,T. G.,Pearce,WA,ALP,Female,(02) 6277 4921,"Unit 2, 23 Ocean Keys Boulevard",,Clarkson,WA,6030,(08) 6500 6499,,,PO Box 2663,Clarkson,WA,6030,,,,,,
Hon,Ms,MP,Rowland,Michelle,Anne,Michelle,M. A.,Greenway,NSW,ALP,Female,(02) 6277 7300,Suite 101C,130 Main Street,Blacktown,NSW,2148,(02) 9671 4780,(02) 9671 5147,,PO Box 8525,Blacktown,NSW,2148,,,,,,Attorney-General
Ms,Ms,MP,Ryan,Joanne,Catherine,Joanne,J. C.,Lalor,VIC,ALP,Female,(02) 6277 4083,Tenancies 3 & 4,203-205 Watton Street,Werribee,VIC,3030,(03) 9742 5800,(03) 9741 6213,,"Tenancies 3 & 4, 203-205 Watton Street",Werribee,VIC,3030,,,,,Chief Government Whip,
Dr,Dr,MP,Ryan,Monique,Marie,Monique,M. M.,Kooyong,VIC,IND,Female,(02) 6277 4915,145 Camberwell Road,,Hawthorn East,VIC,3123,(03) 9326 2900,,,PO Box 1227,Camberwell,VIC,3124,,,,,,
Dr,Dr,MP,Scamps,Sophie,Anna,Sophie,S. A.,Mackellar,NSW,IND,Female,(02) 6277 4936,"Shop 1&2, 1238-1246 Pittwater Road",,Narrabeen,NSW,2101,(02) 9913 9566,,,PO Box 523,Narrabeen,NSW,2101,,,,,,
Ms,Ms,MP,Scrymgour,Marion,Rose,Marion,M. R.,Lingiari,NT,ALP,Female,(02) 6277 4951,79 Todd Mall,,Alice Springs,NT,0870,(08) 8952 9696,,,PO Box 4007,Alice Springs,NT,0870,,,,,,
Ms,Ms,MP,Sharkie,Rebekha,Carina Che,Rebekha,R. C. C.,Mayo,SA,CA,Female,(02) 6277 2113,"Shop 3, Barker Plaza Shopping Centre",22-28 Hutchinson Street,Mt Barker,SA,5251,(08) 8398 5566,,,PO Box 1601,Mt Barker,SA,5251,,,,,,
Ms,Ms,MP,Sitou,Sally,,Sally,S.,Reid,NSW,ALP,Female,(02) 6277 4942,72 Burwood Road,,Burwood,NSW,2134,(02) 9715 7444,,,PO Box 2028,Burwood North,NSW,2134,,,,,,
Mr,Mr,MP,Small,Benjamin,John,Ben,B. J.,Forrest,WA,LP,Male,(02) 6277 4575,"Units 7 & 8 Grand Cinema Complex, Cnr Victoria and Clifton Streets",,Bunbury,WA,6230,(08) 9721 3788,,,PO Box 2028,Bunbury,WA,6231,,,,,,
Mr,Mr,MP,Smith,David,Philip Benedict,David,D. P. B,Bean,ACT,ALP,Male,(02) 6277 4346,205 Anketell Street,,Tuggeranong,ACT,2900,(02) 6293 1344,,,205 Anketell Street,Tuggeranong,ACT,2900,,,,,Government Whip,
Mr,Mr,MP,Smith,Matthew,John Howe,Matt,M. J. H.,Leichhardt,QLD,ALP,Male,(02) 6277 4583,"Suite 3 & 4, 200 Mulgrave Road",,Cairns,QLD,4870,(07) 4051 2220,,,PO Box 14,Bungalow,QLD,4870,,,,,,
Mr,Mr,MP,Soon,Xian-Zhi,,Zhi,X.,Banks,NSW,ALP,Male,(02) 6277 4584,22 Revesby Place,,Revesby,NSW,2212,(02) 9353 0588,,,PO Box 564,Revesby,NSW,2212,,,,,,
Ms,Ms,MP,Spender,Allegra,May,Allegra,A. M.,Wentworth,NSW,IND,Female,(02) 6277 4948,Suite 302 Level 3,179-191 New South Head Road,Edgecliff,NSW,2027,(02) 9327 3988,,,PO Box 545,Edgecliff,NSW,2027,,,,,,
Ms,Ms,MP,Stanley,Anne,Maree,Anne,A. M.,Werriwa,NSW,ALP,Female,(02) 6277 2103,"Shop 7, 441 Hoxton Park Road",,Hinchinbrook,NSW,2168,(02) 8783 0977,(02) 9825 0244,,PO Box 88,Hoxton Park,NSW,2171,,,,,Government Whip,
Ms,Ms,OAM MP,Steggall,Zali,,Zali,Z. ,Warringah,NSW,IND,Female,(02) 6277 2551,"Units 4-6, 8-28 The Corso",,Manly,NSW,2095,(02) 9977 6411,,,PO Box 450,Manly,NSW,2095,,,,,,
Ms,Ms,MP,Swanson,Meryl,Jane,,M. J.,Paterson,NSW,ALP,Female,(02) 6277 4248,35 Sturgeon Street,,Raymond Terrace,NSW,2324,(02) 4983 2401,,,PO Box 156,Raymond Terrace,NSW,2324,,,,,,
Hon,Mr,MP,Taylor,Angus,James,Angus,A. J.,Hume,NSW,LP,Male,(02) 6277 4362,,,,,,,,,,,,,,,,,,
Ms,Ms,MP,Teesdale,Jessica,Ann,Jess,J. A.,Bass,TAS,ALP,Female,(02) 6277 4591,98-102 St John Street,,Launceston,TAS,7250,(03) 6334 7033,,,PO Box 5035,Launceston,TAS,7250,,,,,,
Hon,Mr,MP,Tehan,Daniel,Thomas,Dan,D. T.,Wannon,VIC,LP,Male,(02) 6277 4426,190 Gray Street,,Hamilton,VIC,3300,(03) 5572 1100,,1300 131 692,190 Gray Street ,Hamilton,VIC,3300,,,,,,
Ms,Ms,MP,Templeman,Susan,Raye,Susan,S. R.,Macquarie,NSW,ALP,Female,(02) 6277 4784,"Ground Floor, 299 George Street",,Windsor,NSW,2756,(02) 4573 8222,(02) 4573 8396,1300 519 482,PO Box 855,Windsor,NSW,2756,,,,,,
Hon,Mr,MP,Thistlethwaite,Matthew,James,Matt,M. J.,Kingsford Smith,NSW,ALP,Male,(02) 6277 4840,Shop 6,205 Maroubra Road,Maroubra,NSW,2035,(02) 9349 6007,(02) 9349 8089,,PO Box 895,Maroubra,NSW,2035,,,,,,"Assistant Minister for ImmigrationAssistant Minister for Foreign Affairs and Trade"
Mr,Mr,MP OAM,Thompson,Phillip,,Phillip,P. ,Herbert,QLD,LNP,Male,(02) 6277 4418,G06 Nathan Business Centre,340 Ross River Road,Cranbrook,QLD,4814,(07) 4725 2066,,,PO Box 226,Aitkenvale BC,QLD,4814,,,,,,
Hon,Ms,MP,Thwaites,Kate,Lynne,Kate,K. L.,Jagajaga,VIC,ALP,Female,(02) 6277 4305,2/37 Burgundy Street,,Heidelberg,VIC,3084,(03) 9459 1411,,,PO Box 316,Heidelberg,VIC,3084,,,,,,
Ms,Ms,MP,Urquhart,Anne,Elizabeth,Anne,A. E.,Braddon,TAS,ALP,Female,(02) 6277 4288,"Shop 9, 22 Wilmot Street",,Burnie,TAS,7320,(03) 6431 1333,,,PO Box 908,Burnie,TAS,7320,,,,,,
Mr,Mr,MP,Venning,Thomas,Howard,Tom,T. H.,Grey,SA,LP,Male,(02) 6277 4594,83 Florence Street,,Port Pirie,SA,5540,(08) 8633 1744,(08) 8633 1749,,PO Box 296,Port Pirie,SA,5540,,,,,,
Mr,Mr,MP,Violi,Aaron,Anthony,Aaron,A. A.,Casey,VIC,LP,Male,(02) 6277 4088,110-112 Main Street,,Lilydale,VIC,3140,(03) 9727 0799,,,PO Box 341,Lilydale,VIC,3140,,,,,Opposition Chief Whip,
Mr,Mr,MP,Wallace,Andrew,Bruce,Andrew,A. B.,Fisher,QLD,LNP,Male,(02) 6277 4282,"'The Edge' Upper Level East, Unit 11",10 Lake Kawana Boulevard,Bokarina,QLD,4575,(07) 5493 5556,,,PO Box 1224,Buddina,QLD,4575,,,,,,
Ms,Ms,MP,Watson-Brown,Elizabeth,,Elizabeth,E.,Ryan,QLD,AG,Female,(02) 6277 2172,188 Moggill Road,,Taringa,QLD,4068,(07) 3378 1599,,,PO Box 704,Indooroopilly Centre,QLD,4068,,,,,,
Hon,Mr,MP,Watts,Timothy,Graham,Tim,T. G.,Gellibrand,VIC,ALP,Male,(02) 6277 4537,Ground Floor Units 2 & 3,455 Melbourne Road,Newport,VIC,3015,(03) 9687 7661,(03) 9687 7151,,Ground Floor Units 2 & 3,Newport,VIC,3015,,,,,,
Dr,Dr,MP,Webster,Anne,Elizabeth,Anne,A. E.,Mallee,VIC,NATS,Female,(02) 6277 4027,"Ground Floor, 148 Eighth Street",,Mildura,VIC,3500,(03) 5021 5987,,,PO Box 1133,Mildura,VIC,3502,,,,,,
Hon,Ms,MP,Wells,Anika,Shay,Anika,A. S.,Lilley,QLD,ALP,Female,(02) 6277 7480,Ground floor,1176 Sandgate Road,Nundah,QLD,4012,(07) 3266 8244,,,PO Box 182,Nundah,QLD,4012,,,,,,"Minister for SportMinister for Communications"
Hon,Ms,MP,White,Rebecca,Peta,Rebecca,R.,Lyons,TAS,ALP,Female,(02) 6277 4268,"Suite 105, Green Point Plaza, 28 Green Point Road",,Bridgewater,TAS,7030,(03) 6263 3721,,,PO Box 61,Bridgewater,TAS,7030,,,,,,"Assistant Minister for WomenAssistant Minister for Health and Aged CareAssistant Minister for Indigenous Health"
Mr,Mr,MP,Wilkie,Andrew,Damien,Andrew,A. D.,Clark,TAS,IND,Male,(02) 6277 4766,188 Collins Street,,Hobart,TAS,7001,(03) 6234 5255,,,PO Box 32,Hobart,TAS,7001,,,,,,
Mr,Mr,MP,Willcox,Andrew,John,Andrew,A. J.,Dawson,QLD,LNP,Male,(02) 6277 2104,Level 2,47 Gordon Street,Mackay,QLD,4740,(07) 4944 0662,,,PO Box 1697,Mackay,QLD,4740,,,,,,
Hon,Mr,MP,Wilson,Joshua,Hamilton,Josh,J. H.,Fremantle,WA,ALP,Male,(02) 6277 2081,"Office 12, Level 1",135 High Street Mall,Fremantle,WA,6160,(08) 9335 8555,,,PO Box 1224,Fremantle,WA,6160,,,,,,"Assistant Minister for Climate Change and EnergyAssistant Minister for Emergency Management"
Mr,Mr,MP,Wilson,Richard,James,Rick,R. J.,O'Connor,WA,LP,Male,(02) 6277 4101,345 Hannan Street,,Kalgoorlie,WA,6430,(08) 9021 2044,(08) 9021 2033,,PO Box 10415,Kalgoorlie,WA,6430,,,,,,
Hon,Mr,MP,Wilson,Timothy,Robert,Tim,T. R.,Goldstein,VIC,LP,Male,(02) 6277 4595,677 Nepean Highway,,Brighton East,VIC,3187,(03) 9021 9955,,,677 Nepean Highway,Brighton East,VIC,3187,,,,,,
Ms,Ms,MP,Witty,Sarah,Jane,Sarah,S. J.,Melbourne,VIC,ALP,Female,(02) 6277 4597,142 Johnston Sreet,,Fitzroy,VIC,3065,(03) 7066 6595,,,PO Box 1063,Collingwood,VIC,3066,,,,,,
Hon,Mr,MP,Wood,Jason,Peter,Jason,J. P.,La Trobe,VIC,LP,Male,(02) 6277 4982,Unit 3,16 Langmore Lane,Berwick,VIC,3806,(03) 9768 9164,,,PO Box 539,Berwick,VIC,3806,,,,,,
Mr,Mr,MP,Young,Terry,James,Terry,T. J.,Longman,QLD,LNP,Male,(02) 6277 4030,Level 1,"Unit A, 69 King Street",Caboolture,QLD,4510,(07) 5432 3177,,,PO Box 42,Caboolture,QLD,4510,,,,,Second Deputy Speaker,
Mr,Mr,MP,Zappia,Antonio,,Tony,A.,Makin,SA,ALP,Male,(02) 6277 4147,959 North East Road,,Modbury,SA,5092,(08) 8265 3100,(08) 8265 3900,,PO Box 219,Modbury North,SA,5092,,,,,,
